bag_id,bag_size,person_idx,relationship,year_of_birth,education_num,survey_duration_mins,native_country,race,interview_mode,capital_gain,currency_code,education,capital_loss,survey_year,processing_flag,hours_per_week,workclass,capital_activity_flag,net_capital_asset,is_adult_flag,annual_hours_est,interviewer_id,occupation,sex,poverty_line_usd,education_tier,marital_status,label
2834,4,1,Husband,1947,13,40,United-States,Black,in-person,0,USD,Bachelors,1887,1994,1.0,40,Federal-gov,1,-1887,1,2080,1072,Exec-managerial,Male,15141,Higher,Married-civ-spouse,middle
868,6,1,Not-in-family,1946,10,55,United-States,White,in-person,0,USD,Some-college,0,1994,1.0,40,Private,0,0,1,2080,1107,Adm-clerical,Female,15141,Secondary,Never-married,lower
4470,4,3,Husband,1952,13,46,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,45,Private,0,0,1,2340,1080,Sales,Male,15141,Higher,Married-civ-spouse,upper
2449,5,1,Unmarried,1939,14,46,United-States,White,in-person,0,USD,Masters,0,1994,1.0,40,Private,0,0,1,2080,1321,Exec-managerial,Male,15141,Higher,Divorced,middle
4473,5,2,Not-in-family,1973,9,36,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,35,Private,0,0,1,1820,1238,Machine-op-inspct,Male,15141,Secondary,Never-married,upper
2252,6,2,Not-in-family,1960,16,70,Taiwan,White,in-person,0,USD,Doctorate,0,1994,1.0,40,Private,0,0,1,2080,1322,Prof-specialty,Male,15141,Higher,Never-married,middle
2802,4,1,Wife,1945,12,41,United-States,White,in-person,0,USD,Assoc-acdm,1902,1994,1.0,40,Private,1,-1902,1,2080,1012,Sales,Female,15141,Secondary,Married-civ-spouse,middle
4462,4,1,Husband,1966,9,65,Cuba,White,in-person,0,USD,HS-grad,0,1994,1.0,51,Private,0,0,1,2652,1462,Sales,Male,15141,Secondary,Married-civ-spouse,upper
2166,5,3,Wife,1934,9,63,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,8,Self-emp-inc,0,0,1,416,1068,Adm-clerical,Female,15141,Secondary,Married-civ-spouse,middle
120,5,0,Not-in-family,1959,9,33,United-States,White,in-person,0,USD,HS-grad,0,1994,1.0,40,Private,0,0,1,2080,1484,Transport-moving,Male,15141,Secondary,Married-civ-spouse,lower
4394,7,0,Husband,1948,13,34,United-States,White,in-person,0,USD,Bachelors,0,1994,1.0,40,Federal-gov,0,0,1,2080,1328,Prof-specialty,Male,15141,Higher,Married-civ-spouse,upper
3065,4,3,Husband,1948,13,35,United-States,White,in-person,15024,USD,Bachelors,0,1994,1.0,55,Private,1,15024,1,2860,1360,Exec-managerial,Male,15141,Higher,Married-civ-spouse,middle
